,exist,x,y,width,height,Raw data ID,copyrighter,resolution,date,breed,age,gender,region,camera type,species,lesions,diagnosis,Path,identifier,src_path,label_path,type,fileformat,inspRejectYn
0,Y,1140,779,251,171,IMG_D_A1_011077.jpg,㈜미소정보기술,1920X1080,2021-10-16,몽그렐,2,M,A,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
1,Y,480,325,120,120,IMG_D_A1_011078.jpg,㈜미소정보기술,1920X1080,2021-10-16,몽그렐,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
2,Y,838,438,270,268,IMG_D_A1_011081.jpg,㈜미소정보기술,1920X1080,2021-10-16,몽그렐,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
3,Y,584,275,70,62,IMG_D_A1_011082.jpg,㈜미소정보기술,1920X1080,2021-10-16,몽그렐,2,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
4,Y,1015,670,60,51,IMG_D_A1_011083.jpg,㈜미소정보기술,1920X1080,2021-10-16,몽그렐,2,M,L,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
5,Y,623,257,908,696,IMG_D_A1_011086.jpg,㈜미소정보기술,1920X1080,2021-09-09,말티즈,6,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
6,Y,896,11,67,73,IMG_D_A1_011087.jpg,㈜미소정보기술,1920X1080,2021-09-02,푸들,3,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
7,Y,687,417,279,164,IMG_D_A1_011088.jpg,㈜미소정보기술,1920X1080,2021-09-06,말티즈,6,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
8,Y,713,551,47,40,IMG_D_A1_011089.jpg,㈜미소정보기술,1920X1080,2021-08-30,포메라니안,8,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
9,Y,607,421,163,99,IMG_D_A1_011090.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,8,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
10,Y,1261,635,108,69,IMG_D_A1_011091.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,4,F,H,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
11,Y,375,433,131,174,IMG_D_A1_011092.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,7,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
12,Y,683,457,552,388,IMG_D_A1_011093.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,1,M,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
13,Y,1002,324,312,301,IMG_D_A1_011094.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,16,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
14,Y,902,319,87,82,IMG_D_A1_011095.jpg,㈜미소정보기술,1920X1080,2021-09-16,몽그렐,8,F,B,IMG,D,A1,,유증상,피부질환,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,/라벨링데이터/반려견/피부/일반카메라/유증상/A1_구진_플라크,json,jpg,N
